,id,elevation,latitude,longitude,city,county,location,region,state,station_id,station_name,station_slug,station_timezone,earliest_api_date,days_active,campbell_cloud_id,legacy_id
0,47,461.0,45.158901,-89.117798,Antigo,Langlade,Langlade County Airport,Northeast,WI,ANGO,Antigo,antigo,US/Central,2024-09-11T00:00:00Z,175.0,be41f3c5-db40-4e77-9314-7b64a86bf0bd,S0AY9458XB
1,7,304.0,43.2966,-89.3843,Arlington,Columbia County,Arlington Agricultural Research Station,South Central,WI,ALTN,Arlington,arlington,US/Central,2023-05-22T00:00:00Z,653.0,7a0eb3c4-bcaf-c4f7-c3d2-92e8a9da6b06,SLR6NWDRE7
2,45,307.0,45.032001,-91.199997,Arthur,Chippewa,Not set,Northwest,WI,RTHR,Arthur,arthur,US/Central,2024-08-28T00:00:00Z,189.0,2f187f9b-f4fa-d1ad-1123-75e3df29071b,S2ELLV2D9Y
3,36,296.0,44.253799,-90.268997,Babcock,Wood,Amundson Cranberry Inc,Central,WI,BBCK,Babcock,babcock,US/Central,2024-07-11T00:00:00Z,237.0,f45b6cc4-e520-48f8-e9c7-dd4c98579a8f,SDHS0YT2M2
4,31,238.0,44.481499,-88.405899,Black Creek,Outagamie,Fallen Timbers Environmental Center,East Central,WI,BLCR,Black Creek,black_creek,US/Central,2024-06-12T00:00:00Z,266.0,bb5e5c3c-0a51-3958-3dff-6064a0c9b1f9,SCQEZRKA6K
5,19,262.0,44.1852,-90.742798,Black River Falls,Jackson,Black River Falls,West Central,WI,WCRS,Black River Falls,black_river_falls,US/Central,2023-10-18T00:00:00Z,504.0,9f8a27d9-f8c6-6252-f611-1153cc105957,SX7MLEE0G2
6,30,253.0,44.104,-88.051003,Brillion,Calumet,Dallmann East River Dairy LLC,East Central,WI,BRLN,Brillion,brillion,US/Central,2024-06-11T00:00:00Z,267.0,9e167efb-fdd6-9ea7-5b88-4e5faeb80620,SOVH4DPMII
7,23,234.0,42.570999,-88.044998,Bristol,Kenosha,Kenosha County Center,Southeast,WI,BSTL,Bristol,bristol,US/Central,2024-04-22T00:00:00Z,317.0,a81da783-454f-a278-f3f7-b82ba8265bfc,S6HO1L6JBI
8,50,271.0,43.838001,-89.030403,Brooklyn,Green,Brooklyn,Central,WI,BKLN,Brooklyn,brooklyn,US/Central,2024-09-25T00:00:00Z,161.0,5723db07-3283-67fb-2c8c-3c5a8fce23ec,SWV1DQCEJF
9,38,341.0,45.285801,-92.321297,Clear Lake,Polk,Bull Brook Keep,Northwest,WI,CLLK,Clear Lake,clear_lake,US/Central,2024-07-17T00:00:00Z,231.0,87b71cdc-06b1-fe6c-6721-a94b5021a9ae,S21BCEXFYO
10,21,241.0,42.898701,-88.737198,Cold Spring,Jefferson,Cold Spring,South Central,WI,COSP,Cold Spring,cold_spring,US/Central,2023-10-19T00:00:00Z,503.0,26790b04-dbdc-b082-e995-1f25fe466a28,SKF58LYJ1S
11,57,495.0,45.522598,-88.923897,Crandon,Forest,Crandon Municipal Airport,Northeast,WI,CNDN,Crandon,crandon,US/Central,2024-10-23T00:00:00Z,133.0,b40ee906-2303-7a4d-2c32-287d980e2207,S7DLA4NRNE
12,39,280.0,44.026001,-90.255997,Camp Douglas,Juneau,Cutler Cranberry,Central,WI,CTLR,Cutler,cutler,US/Central,2024-07-16T00:00:00Z,232.0,ced08fb1-544c-c6cd-e062-66e8d1aed8fb,SN63FRIQH5
13,29,275.0,44.327999,-87.966003,De Pere,Brown,Calf Source LLC,East Central,WI,DEPR,De Pere,de_pere,US/Central,2024-06-11T00:00:00Z,267.0,018c9f3f-b9ab-433a-f704-26b27fe7c17a,SS6NJR993V
14,53,265.0,44.627586,-91.939346,Durand,Pepin,Farm on Dairy,West Central,WI,DRND,Durand,durand,US/Central,2024-10-09T00:00:00Z,147.0,73287b85-5a7a-5a77-de5c-8ae3337aa562,SY37RUNT70
15,9,227.0,45.0509,-87.259804,Egg Harbor,Door,Egg Harbor,East Central,WI,EGHA,Egg Harbor,egg_harbor,US/Central,2023-08-18T00:00:00Z,565.0,6ba81f7d-0769-71db-24b9-4b97b774a0a6,S2P6D646U1
16,42,345.0,44.609001,-91.0,Fairchild,Eau Claire,Fairchild,Northwest,WI,FRCD,Fairchild,fairchild,US/Central,2024-08-06T00:00:00Z,211.0,1ed8d839-4d74-c919-b0e1-57b076fe3f8e,SL7G29O27W
17,32,218.0,43.2981,-87.932098,Grafton,Ozakee,Grafton Little League,East Central,WI,GFTN,Grafton,grafton,US/Central,2024-06-18T00:00:00Z,260.0,ba5aed7c-a3c0-32ca-8a70-106f10eaa45c,SCRF14YQBZ
18,20,361.0,44.717999,-90.596603,Greenwood,Clark,Greenwood,North Central,WI,GNWD,Greenwood,greenwood,US/Central,2023-10-17T00:00:00Z,505.0,7910093b-bebb-3671-ed9a-6955be87b585,SPB6FKYDR6
19,1,333.0,44.118801,-89.533302,Hancock,Waushara County,Not set,Central,WI,HNCK,Hancock,hancock,US/Central,2023-02-02T00:00:00Z,762.0,869f0010-74ab-3333-1231-059899654bff,SASGYVS2EV
20,55,267.0,44.504025,-89.024918,Iola,Waupaca,Central County Airport,Central,WI,IOLA,Iola,iola,US/Central,2024-10-15T00:00:00Z,141.0,acf3a033-72f6-db4f-d05e-579bf048d930,SIXLY2ZRR6
